ID,Software,CWE,Score,Severity,CVE_URL,WRITEUP_URL,EXPLOIT_URL
CVE-2025-6838,Broken Link Notifier,CWE-1236 Improper Neutralization of Formula Elements in a CSV File,4.1,Medium,https://www.cve.org/CVERecord?id=CVE-2025-6838,,
CVE-2025-6787,Smart Docs,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",6.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-6787,,
CVE-2025-6786,DocCheck Login,CWE-284 Improper Access Control,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-6786,,
CVE-2025-6783,GoZen Forms,"CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')",7.5,High,https://www.cve.org/CVERecord?id=CVE-2025-6783,,
CVE-2025-6782,GoZen Forms,"CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')",7.5,High,https://www.cve.org/CVERecord?id=CVE-2025-6782,,
CVE-2025-5490,Football Pool,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",5.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-5490,,
CVE-2025-5322,VikRentCar Car Rental Management System,CWE-434 Unrestricted Upload of File with Dangerous Type,7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-5322,,
CVE-2025-5275,Charitable,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",4.4,Medium,https://www.cve.org/CVERecord?id=CVE-2025-5275,,
CVE-2025-5142,Simple Page Access Restriction,CWE-352 Cross-Site Request Forgery (CSRF),6.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-5142,,
CVE-2024-9462,Poll Maker,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",3.1,Low,https://www.cve.org/CVERecord?id=CVE-2024-9462,,
CVE-2024-9461,Total Upkeep,"CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')",7.2,High,https://www.cve.org/CVERecord?id=CVE-2024-9461,http://medium.com/@jonas.friedli/real-world-vulnerable-code-analysis-cve-2024-9461-remote-code-execution-953536cf4181,
CVE-2024-8488,Survey Maker,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",4.4,Medium,https://www.cve.org/CVERecord?id=CVE-2024-8488,,
CVE-2024-7386,Premium Packages,CWE-352 Cross-Site Request Forgery (CSRF),4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2024-7386,,
CVE-2024-6692,Easy Digital Downloads,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",3.3,Low,https://www.cve.org/CVERecord?id=CVE-2024-6692,,
CVE-2024-6691,Easy Digital Downloads,"CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')",4.4,Medium,https://www.cve.org/CVERecord?id=CVE-2024-6691,,
CVE-2023-3897,SureMDM On-premise,CWE-203 Observable Discrepancy,4.8,Medium,https://www.cve.org/CVERecord?id=CVE-2023-3897,,https://www.exploit-db.com/exploits/51804
